State/UT,Year,population(total),Rural,Urban,Tot_M,Tot_F,P_LIT,M_LIT,F_LIT,Lit_rate,Area (km2),MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Total Crimes,tot_crimes_sc,total crime against women,Total crimes against STs,Total crime against children,Crime Rate
SIKKIM,2001,540851,480981,59870,288484,252367,234135,137745,96390,68.81,7096,19,11,7,8,0,8,6,2,4,0,0,3,76,74,6,68,3,1,13,0,1,35,0,0,14,0,0,7,166,444,976,5,28,6,5,82.09284997
TAMIL NADU,2001,62405679,34921681,27483998,31400909,31004770,40524545,22809662,17714883,73.45,130058,1662,2204,19,423,0,423,952,607,345,158,6,672,5965,16709,4478,12231,5196,360,2139,104,980,28429,191,1773,1012,815,14,8550,76468,154801,327686,0,6138,9,61,248.0559502
TRIPURA,2001,3199203,2653453,545750,1642225,1556978,2022099,1150707,871392,73.19,10486,240,25,0,102,0,102,93,35,58,26,0,63,198,259,6,253,138,4,17,6,31,412,16,58,0,227,0,31,855,2801,6056,0,536,0,0,87.55305618
UTTAR PRADESH,2001,166197921,131658339,34539582,87565369,78632552,75719284,48901413,26817871,56.27,240928,7601,7964,1186,1958,0,1958,4330,2879,1451,905,38,3825,8411,27011,6189,20822,7343,3430,5363,147,812,17816,2211,2870,2575,7365,0,7129,57839,178129,389557,0,15317,254,3709,107.1788377
UTTARAKHAND,2001,8489349,6310275,2179074,4325924,4163425,5105782,3008875,2096907,71.62,53483,316,279,38,74,0,74,183,126,57,32,3,191,533,1419,374,1045,440,171,318,4,30,830,56,103,84,301,0,441,2227,8073,17822,0,869,18,46,95.09563101
WEST BENGAL,2001,80176197,57748946,22427251,41465985,38710212,47196401,27452426,19743975,68.64,88752,1594,449,581,709,0,709,875,695,180,274,421,660,426,14245,2562,11683,3095,486,1216,102,102,3658,265,954,48,3859,3,2281,25260,61563,138955,0,8338,2,167,76.78463472
A& N ISLANDS,2002,358609,241609,116999,193936,164583,256932,148446,108430,81.7,8249,17,3,1,2,0,2,2,1,1,1,0,7,49,49,2,47,11,4,11,0,2,97,0,17,3,4,0,0,328,608,1269,0,27,1,0,169.543988
ANDHRA PRADESH,2002,77048317,56010478,21037839,38901128,38127248,40852812,23937128,17066668,61.07,275045,2525,1644,165,1002,0,1002,1302,854,448,197,3,648,7628,19222,3544,15678,2140,1050,6733,155,991,39839,449,3799,2024,7018,0,8691,36385,143610,308746,3385,17075,525,333,186.3895353
ARUNACHAL PRADESH,2002,1123221,890099,233122,592119,531495,507569,314994,192575,55.3,83743,61,38,6,38,0,38,57,38,19,22,0,96,249,395,51,344,21,23,29,5,20,401,0,68,2,13,0,0,684,2228,4946,0,148,87,6,198.3581147
ASSAM,2002,27082016,23587748,3494268,13983692,13100001,14461326,8401603,6059723,64,78438,1253,479,55,970,0,970,1595,1276,319,473,18,607,2504,5555,496,5059,3014,558,719,57,438,4764,70,984,7,1694,0,1957,8575,36346,80812,47,5636,39,14,134.2071432
BIHAR,2002,84907474,76025993,8881481,44281646,40669072,32771423,21552728,11218695,48.3,94163,3712,3526,396,1040,0,1040,2361,744,1617,1289,141,2288,3188,10145,1131,9014,8675,1215,1811,72,600,8770,927,621,6,1577,38,2497,39145,94040,201626,1579,6847,57,57,110.7558564
CHANDIGARH,2002,915045,93593,821451,514035,401570,657811,389957,267854,82.3,114,31,35,7,18,0,18,54,47,7,1,1,26,336,1647,617,1030,78,35,181,5,5,107,1,36,28,56,0,7,1111,3806,9331,0,179,0,49,415.9358283
CHHATTISGARH,2002,21271312,16997665,4273647,10694176,10577136,11535076,6899314,4635762,65.19,135191,844,453,24,992,0,992,178,154,24,144,6,326,3731,4302,889,3413,817,96,393,18,235,4484,85,1483,147,653,0,963,17576,37950,81372,443,3747,508,733,178.4093055
D & N HAVELI,2002,230411,177678,52733,127627,102974,112209,77343,34866,59.3,491,11,2,0,4,0,4,9,5,4,3,0,1,38,75,38,37,5,12,10,0,2,29,0,3,0,3,0,0,142,349,786,0,22,0,0,151.4684629
DAMAN & DIU,2002,165164,105293,59871,97137,67991,113767,75109,38658,79.03,112,11,2,0,4,0,4,9,5,4,3,0,1,38,75,38,37,5,12,10,0,2,29,0,3,0,3,0,0,142,349,786,0,6,0,0,211.305127
DELHI,2002,14113665,962676,13150989,7734274,6384370,9930656,5831966,4098690,82.11,16579,531,440,68,403,0,403,1323,893,430,47,67,502,2360,16625,7434,9191,139,444,2098,46,57,1851,135,446,128,135,0,416,20876,49137,116625,16,3543,0,697,348.1519506
GOA,2002,1358447,682507,675941,692127,666099,1001930,548065,453865,82.42,3702,30,20,4,12,0,12,9,5,4,5,0,24,376,496,146,350,79,27,78,3,25,236,2,18,6,8,0,202,780,2440,5397,2,104,0,31,179.6168713
GUJARAT,2002,51583095,32312100,19270994,26834131,24698292,30830532,18368271,12462261,70.86,196024,1532,759,13,267,0,267,1015,807,208,804,12,1098,5327,15742,6195,9547,3665,1385,1457,46,1915,13531,62,750,104,3321,0,3258,50612,106675,230374,1370,6178,340,710,206.8022479
HARYANA,2002,21525166,15299775,6225379,11557140,9976223,12480180,7682174,4798006,68.86,44212,760,487,89,361,1,360,427,290,137,61,162,330,3048,5962,2955,3007,700,579,933,32,199,4514,256,454,1424,1565,0,955,16854,40152,87054,227,4208,5,235,186.5351468
