State/UT,Year,population(total),Rural,Urban,Tot_M,Tot_F,P_LIT,M_LIT,F_LIT,Lit_rate,Area (km2),MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Total Crimes,tot_crimes_sc,total crime against women,Total crimes against STs,Total crime against children,Crime Rate
ASSAM,2006,28857307,25133980,3723327,14841779,14024800,16399055,9310039,7089016,67.2,78438,1207,414,32,1244,0,1244,1825,1544,281,319,12,544,2911,7820,1362,6458,2684,461,905,98,488,5290,105,1290,10,2548,0,3022,10444,43673,98235,282,175,49,252,151.3412184
BIHAR,2006,92992611,83265410,9727201,48688183,44541699,40419462,25603788,14815674,53.7,94163,3249,3303,326,1232,0,1232,2619,1084,1535,1001,140,2169,3531,11752,2023,9729,8259,1054,2171,97,785,12674,1188,530,53,1689,42,2860,39941,100665,216933,2043,8082,66,66,108.2505362
CHANDIGARH,2006,975024,99726,875298,543429,434670,719581,420447,299134,83.9,114,12,21,8,19,0,19,65,57,8,1,3,34,189,1234,529,705,44,59,232,3,5,55,10,20,13,102,0,14,983,3126,7570,2,7335,0,64,320.6074927
CHHATTISGARH,2006,23115174,18471075,4644099,11621179,11493994,13107454,7705099,5402355,66.31,135191,1098,825,15,995,0,995,239,178,61,160,24,439,3507,5262,1623,3639,905,137,507,33,262,6722,103,1598,143,717,1,2239,19246,45177,96850,444,135,615,1238,195.4430453
D & N HAVELI,2006,274765,211883,62882,154539,121391,152813,102139,50674,66.46,491,9,0,1,6,0,6,18,14,4,5,0,5,41,61,13,48,8,30,10,1,5,35,1,5,1,5,0,16,172,435,955,2,3943,3,15,158.3171073
DAMAN & DIU,2006,196204,125081,71123,118068,78019,142179,94108,48071,82.53,112,9,0,1,6,0,6,18,14,4,5,0,5,41,61,13,48,8,30,10,1,5,35,1,5,1,5,0,16,172,435,955,1,25,3,3,221.7080182
DELHI,2006,15217258,1037949,14179309,8264009,6981377,11072490,6387302,4685188,83.92,16579,476,510,75,623,0,623,1442,1066,376,14,200,541,1950,17498,9366,8132,87,442,2313,42,33,1818,137,718,144,1728,0,367,26805,57963,135489,21,9,0,2160,380.903051
GOA,2006,1392359,704609,687750,711991,689308,1070329,577123,493206,84.06,3702,39,17,1,21,0,21,16,10,6,7,0,17,252,494,223,271,63,35,55,9,38,170,0,18,7,14,0,233,698,2204,4939,4,3859,0,54,158.2925093
GUJARAT,2006,55398557,34702140,20696417,28705911,26421087,35196738.1,20673649.1,14523089,78.2,196024,1165,471,24,354,0,354,1128,945,183,290,12,970,5530,18475,7188,11287,1534,1246,1529,196,321,10685,50,736,138,4977,0,4339,66802,120972,261901,995,116,156,977,218.3666986
HARYANA,2006,23117310,16431458,6685852,12363292,10798582,14159044,8546057,5612987,72.78,44212,873,585,59,608,0,608,635,431,204,104,224,410,4001,10518,6300,4218,1142,750,1424,35,156,5135,255,486,491,2254,0,1350,19014,50509,112779,408,8564,0,462,218.4899541
HIMACHAL PRADESH,2006,6451426,5819245,632181,3282575,3183132,4461226,2456539,2004687,75.98,55673,111,78,20,113,0,113,130,109,21,7,0,29,754,812,214,598,566,137,129,4,115,1261,3,275,31,259,0,499,7760,13093,27241,94,5052,2,136,202.9473794
JAMMU & KASHMIR,2006,11309690,8503772,2805918,5977149,5332540,5829301,3600077,2229224,67.52,222236,487,854,40,250,0,250,789,723,66,10,0,112,1351,1937,554,1383,1197,123,463,35,203,376,10,960,347,135,0,222,10886,20787,44550,1,976,0,85,183.7981412
JHARKHAND,2006,29750368,23132796,6617572,15330200,14490993,14679474,9126024,5553450,59.98,79714,1492,1078,97,799,0,799,635,410,225,536,45,779,1428,6173,1146,5027,2650,319,833,34,178,3055,281,414,44,668,5,1154,13667,36364,80335,333,2289,268,112,122.2304208
KARNATAKA,2006,56935060,37585395,19349665,28835305,27957288,35226676,19982037,15244639,66.21,191791,1627,1484,68,400,0,400,563,328,235,202,247,1349,5967,14901,5759,9142,6183,471,2910,139,268,19488,244,1683,38,2129,0,534,56815,117710,251284,1730,2740,205,276,206.7443154
KERALA,2006,32645404,24169731,8475673,15741214,16869869,26787738,13206270,13581468,92.67,38863,393,347,87,601,0,601,294,202,92,129,125,691,4245,5431,2014,3417,6365,299,3316,68,435,19105,25,2543,222,3708,0,49,56777,105255,216836,364,5747,88,553,322.4190456
LAKSHADWEEP,2006,62485,34703,27782,32106,30414,48370,26272,22269,90.38,32,0,2,0,0,0,0,0,0,0,0,0,0,2,17,1,16,12,0,0,0,4,5,0,0,0,1,0,0,37,80,177,0,7906,1,0,128.0307274
MADHYA PRADESH,2006,66303115,48760348,17542767,34377306,31912759,36760223,22257370,14502853,76.4,308245,2309,2370,138,2900,0,2900,808,617,191,151,121,1770,10960,21733,7552,14181,2308,519,1522,38,815,34709,764,6243,762,2989,0,4823,95959,194711,414863,4214,4,1501,3939,293.6679521
MAHARASHTRA,2006,104365790,60088364,44277426,54162151,50144075,72252699,41055201,31197498,79.54,307713,2656,1680,100,1500,1,1499,1261,921,340,663,323,2574,15877,46473,12741,33732,7453,1726,6234,317,1188,29407,387,3479,984,6738,1,10933,49834,191788,432810,1053,14866,239,2841,183.7651974
MANIPUR,2006,2357329,1730713,626616,1251748,1229750,1597764,903558,694206,73.93,22327,205,265,4,40,0,40,130,79,51,2,27,8,55,290,105,185,60,40,82,9,109,296,0,42,0,10,0,3,1207,2884,6228,0,15485,1,54,122.3418539
MEGHALAYA,2006,2623529,2109747,513782,1324154,1292897,1441443,750953,690490,68.03,22429,157,42,8,74,0,74,57,25,32,57,4,65,140,470,135,335,7,16,83,7,28,138,6,57,0,13,0,68,438,1935,4471,0,211,0,71,73.75561696
MIZORAM,2006,955869,496574,489295,504411,482345,746232,392260,353972,90.06,21081,25,19,7,72,0,72,6,1,5,7,0,10,422,758,60,698,0,30,78,10,25,72,0,51,0,1,0,26,454,2073,4982,0,205,0,35,216.8707218
NAGALAND,2006,1980101,1639027,341074,1035152,947615,1210467,671486,538981,71.5,1483,123,46,8,23,0,23,31,3,28,16,0,84,70,327,113,214,7,18,37,10,16,50,0,3,2,3,0,28,201,1103,2587,0,34,0,14,55.70422923
ODISHA,2006,39259973,33374670,5885303,19895630,19402331,22980665,13436364,9544301,68.09,155707,1159,752,36,985,0,985,704,577,127,239,76,1184,3120,6567,1571,4996,1535,313,1364,16,371,6226,457,2415,247,694,12,2945,21375,52792,113840,1153,28,,154,134.467744
PUDUCHERRY,2006,1102377,368527,733850,545595,556286,811767,432725,379042,83.47,479,30,24,3,9,0,9,18,13,5,2,0,3,84,560,320,240,194,6,36,2,22,927,3,56,39,19,0,209,2441,4687,9961,14,5804,,25,425.1721507
PUNJAB,2006,25984033,17170316,8813717,13783069,12192736,16581203,9366753,7214450,72.64,50362,817,898,165,442,0,442,591,418,173,35,90,142,2277,3946,1561,2385,3,281,3393,66,68,5104,130,314,60,801,2,2919,9524,32068,69115,184,163,,329,123.4142521
RAJASTHAN,2006,62388496,47798761,14589735,32323153,29862475,32421868,20618685,11803183,63.25,342239,1209,1694,79,1085,0,1085,1970,1553,417,37,97,631,5085,17889,7276,10613,1767,694,10191,56,551,21296,394,2582,31,7038,3,6234,61379,141992,304928,545877,2643,,951,227.5932409
SIKKIM,2006,574086,510539,63547,304702,269200,322535,186077,136458,73.67,7096,21,16,2,20,0,20,8,7,1,0,0,9,84,113,8,105,12,10,37,1,1,96,0,14,0,6,0,39,214,703,1547,2,14046,,35,122.4555206
TAMIL NADU,2006,67228633,37620565,29608068,33661384,33433860,45744303,25307399,20436904,76.79,130058,1363,1599,20,457,0,457,906,718,188,95,4,450,3300,13651,2877,10774,1838,194,2116,63,460,14067,187,1179,852,1248,0,10792,94131,148972,312958,991,53,,353,221.5901073
TRIPURA,2006,3429500,2844466,585034,1757839,1673178,2379954,1314668,1065286,76.52,10486,154,52,1,189,0,189,105,62,43,18,1,71,182,392,31,361,154,23,84,12,35,464,35,207,0,471,0,199,1091,3940,8566,14,6219,,41,114.8855518
UTTAR PRADESH,2006,182598201,144650282,37947919,95265826,86816690,93015811,57799501,35216310,61.5,240928,5480,4997,1543,1314,0,1314,3318,2551,767,218,86,2024,4577,20447,9621,10826,3774,2509,5142,278,299,10412,1798,2096,2714,5204,0,7235,41536,127001,279081,4960,1067,,1767,69.55216388
UTTARAKHAND,2006,9281390,6899013,2382377,4706341,4529553,5918884,3404262,2514622,74.88,53483,274,215,40,147,0,147,212,183,29,31,2,157,470,1696,525,1171,489,95,514,14,39,854,80,153,113,358,0,524,1935,8412,18879,68,20141,,51,90.63297631
WEST BENGAL,2006,85524916,61601498,23923418,44014372,41496866,53795144,30458562,23336582,72.48,88752,1425,672,401,1731,0,1731,1355,1199,156,177,1263,426,601,12532,2714,9818,2385,519,1947,135,111,6299,445,1837,63,7414,1,3039,23274,68052,151722,13,1086,,432,79.56979461
A& N ISLANDS,2007,371187,250098,121089,198831,171780,276785,156789,119713,83.7,8249,15,19,1,3,0,3,12,9,3,5,0,9,90,112,8,104,17,7,23,1,11,99,1,21,2,18,0,4,337,807,1741,0,20779,,10,217.4106313
ANDHRA PRADESH,2007,81380230,59159574,22220653,40824789,40430471,45772021,26558326,20269846,64.03,275045,2665,1885,135,1070,0,1070,2097,1564,533,170,6,614,7677,24391,6183,18208,1998,869,8103,224,1176,46122,613,4406,3316,11335,0,12629,43586,175087,377732,3383,91,,1499,215.1468483
ARUNACHAL PRADESH,2007,1258469,997276,261193,656956,604273,638595,379671,258924,60.3,83743,68,29,2,48,0,48,68,44,24,16,0,75,240,513,116,397,16,41,33,10,22,375,0,72,1,20,0,82,555,2286,5201,0,23224,,4,181.6492897
ASSAM,2007,29319023,25536123,3782900,15064405,14266026,16924676,9552100,7372576,68,78438,1374,451,109,1437,0,1437,1971,1471,500,299,12,496,2603,7754,1982,5772,2601,653,895,115,380,5175,100,789,10,3000,0,2875,12183,45282,101726,126,164,,167,154.4458013
BIHAR,2007,95131440,85180514,9950926,49856699,45566158,42612756,26730354,15882402,55.2,94163,3034,3113,257,1555,0,1555,2530,1260,1270,686,78,1787,3259,11795,2392,9403,7962,1326,2358,79,865,16288,1172,853,12,1635,56,3789,44931,109420,234720,2786,9644,675,675,115.0198084
CHANDIGARH,2007,990623,101321,889302,551037,443363,735944,428435,307509,84.3,114,19,26,8,22,0,22,52,46,6,2,0,37,191,1740,853,887,79,38,170,2,9,78,1,32,11,112,0,15,999,3643,9100,0,7511,,53,367.7483765
CHHATTISGARH,2007,23600592,18858967,4741625,11865223,11735367,13533887,7920841,5613046,66.85,135191,1097,747,26,982,0,982,244,181,63,115,13,427,3632,5381,1814,3567,881,150,467,64,253,6801,100,1549,111,824,0,2476,19505,45845,98297,511,146,,1024,194.2536018
D & N HAVELI,2007,287128,221417,65711,162111,126489,165133,109493,55640,68.39,491,10,2,0,7,0,7,9,6,3,1,0,3,28,87,19,68,39,17,10,1,10,25,0,0,0,3,0,12,161,425,953,0,3976,,11,148.0176089
DAMAN & DIU,2007,204836,130584,74252,123971,80749,150328,99566,50762,83.43,112,10,2,0,7,0,7,9,6,3,1,0,3,28,87,19,68,39,17,10,1,10,25,0,0,0,3,0,12,161,425,953,0,19,,3,207.4830596
DELHI,2007,15506385,1057670,14448715,8402017,7139156,11378693,6534209,4844484,84.38,16579,495,530,94,598,0,598,1688,1167,521,34,229,557,2055,17037,8874,8163,87,451,2336,41,31,1736,138,868,167,1787,0,252,24854,56065,131453,24,9,,2019,361.5607377
GOA,2007,1403497,710245,693252,717046,695236,1088188,584625,503563,84.48,3702,33,23,7,20,0,20,12,7,5,7,0,22,292,494,207,287,70,36,55,10,24,150,2,20,7,14,0,247,934,2479,5484,0,4218,,70,176.6302315
GUJARAT,2007,56395730,35326778,21068952,29193911,26870245,36383347,21293858,15089489,80.15,196024,1166,494,21,316,0,316,1312,1089,223,245,10,1095,4870,18164,8022,10142,1668,1139,1116,286,330,10989,42,822,120,5827,0,4831,68332,123195,266182,1040,140,,1110,218.4473895
HARYANA,2007,23533421,16727224,6806197,12573467,11014553,14614306,8776800,5837506,73.79,44212,911,592,72,488,0,488,801,554,247,139,266,502,4231,11047,6499,4548,1173,726,1232,33,142,5031,269,417,409,2412,0,1545,19159,51597,115530,252,7966,,325,219.2498915
HIMACHAL PRADESH,2007,6528842,5889075,639767,3322950,3223239,4560021,2503213,2056808,75.88,55673,127,57,9,159,0,159,171,150,21,5,0,23,877,1092,264,828,649,132,212,11,141,1318,8,322,33,342,0,597,7937,14222,29866,129,5216,,151,217.8334228
JAMMU & KASHMIR,2007,115585502,8690854,2867648,6108646,5449855,6059564,3718879,2340685,70.2,222236,318,669,23,288,0,288,758,707,51,18,0,111,1460,2086,514,1572,1209,121,489,31,186,374,9,986,353,176,0,243,11535,21443,46018,2,945,,26,18.55163462
JHARKHAND,2007,30480372,23595451,6884921,15636804,14795303,15346770,9454560,5892210,61.35,79714,1617,1076,92,855,0,855,762,534,228,524,40,771,1495,7091,1784,5307,2565,448,814,19,160,3783,303,342,15,801,0,1019,13897,38489,85686,538,2613,,74,126.2747056
KARNATAKA,2007,57789084,38149175,19639909,29238999,28376647,36275033,20481587,15793446,66.24,191791,1538,1251,55,436,1,435,680,390,290,178,242,1313,5449,14351,5887,8464,5783,400,3600,124,262,18963,251,1828,28,2507,0,514,60853,120606,256679,1844,2606,,266,208.7003144
KERALA,2007,32808630,24290579,8518051,15796308,16971088,27056740,13298713,13758027,92.97,38863,367,402,92,512,0,512,255,177,78,121,157,869,4100,5609,2113,3496,7358,394,4215,54,398,18975,27,2624,262,3999,0,59,57681,108530,223436,477,6618,,487,330.7971104
LAKSHADWEEP,2007,62859,34911,27948,32305,30596,49143,26639,22714,91.14,32,0,2,0,1,0,1,0,0,0,0,0,0,2,20,2,18,1,0,0,0,0,0,0,2,0,2,0,0,26,56,133,0,7703,,0,89.08827694
MADHYA PRADESH,2007,67562873,49686794,17876079,34996097,32551014,37896771,22813804,15082967,79.2,308245,2244,2423,155,3010,0,3010,922,701,221,143,109,1975,11230,22396,8915,13481,2648,531,1661,38,909,36643,742,6772,780,3294,0,5754,98007,202386,431100,4106,1,,4290,299.5520928
MAHARASHTRA,2007,105931276,60989689,44941587,54947502,50911279,74040925,41876305,32164620,80.09,307713,2693,1615,113,1451,0,1451,1312,967,345,716,405,2770,15607,47681,13895,33786,7993,1715,6235,270,1267,29622,436,3306,1039,7356,0,11946,50159,195707,441858,1166,15716,,2707,184.7490254
MANIPUR,2007,2397403,1760135,637268,1285545,1264183,1662434,936989,725445,74.63,22327,240,377,2,20,0,20,150,83,67,3,146,11,70,454,150,304,70,19,93,4,63,377,0,70,0,15,0,1,1074,3259,7142,0,14726,,49,135.9387637
MEGHALAYA,2007,2689116,2162490,526626,1355933,1325219,1506066,781742,724324,69.18,22429,114,49,8,82,0,82,52,22,30,55,1,56,203,500,91,409,33,17,164,12,36,124,2,45,1,19,0,68,438,2079,4792,0,194,,71,77.31165186
MIZORAM,2007,1006572,507002,499570,513994,493657,764456,401281,363175,90.32,21081,43,21,4,83,0,83,4,0,4,0,0,5,457,808,64,744,1,20,66,16,38,85,0,66,0,2,0,34,330,2083,5061,0,236,,64,206.9399904
NAGALAND,2007,1978119,1637387,340732,1032771,948562,1230920,679543,551377,72.78,1483,111,50,8,13,0,13,17,6,11,7,0,75,118,360,194,166,15,13,34,8,5,52,0,8,1,0,0,43,242,1180,2750,5,28,109,7,59.65262959
ODISHA,2007,39770351,33808540,5961811,20152283,19664262,23671473,13745400,9926073,69.14,155707,1210,1105,22,939,0,939,801,660,141,247,42,1273,3073,6830,1733,5097,1983,319,1263,30,411,7478,461,2775,241,728,0,3771,19870,54872,118314,1355,46,394,201,137.972129
PUDUCHERRY,2007,1129936,377740,752196,558143,571194,825412,432725,392687,83.92,479,34,42,2,9,0,9,20,14,6,1,2,8,86,787,498,289,145,6,45,1,18,904,2,89,32,17,0,267,2537,5054,10924,25,6958,0,23,447.28197
PUNJAB,2007,26321825,17393530,8928295,13948465,12363434,16972694,9563454,7409240,73.25,50362,760,893,170,519,0,519,760,545,215,37,92,138,2616,5173,2084,3089,1,329,3581,68,96,5663,133,427,48,971,0,2801,10517,35793,78038,177,117,0,527,135.9822125
RAJASTHAN,2007,63636265,48754736,14881529,32937292,30450765,33462502,21175389,12287113,63.83,342239,1303,1772,64,1238,0,1238,2177,1694,483,71,81,778,5164,19345,8258,11087,1626,825,11919,56,675,19720,439,2477,28,8170,0,7096,63846,148870,320500,571146,2580,1110,1252,233.938934
SIKKIM,2007,580974,516665,64309,308053,272699,343895,197613,146282,75.12,7096,9,14,3,24,0,24,9,9,0,0,0,6,83,118,11,107,15,7,34,3,1,95,0,13,0,7,0,34,192,667,1485,10,14309,13,31,114.8072031
TAMIL NADU,2007,68237062,38184873,30052189,34132643,33942054,46868428,25838854,21029574,77.48,130058,1633,2078,28,523,0,523,1270,1097,173,88,33,495,3717,13217,2901,10316,2375,261,2510,74,653,16967,208,1540,875,1976,0,11485,110748,172754,360518,1743,48,17,441,253.1674063
TRIPURA,2007,3477512,2884288,593224,1781921,1697439,2459126,1350164,1108962,77.2,10486,138,58,2,157,0,157,113,81,32,14,2,64,193,411,55,356,142,42,85,10,23,546,36,244,4,545,0,203,1241,4273,9227,8,6267,6,63,122.875205
UTTAR PRADESH,2007,186067566,147398637,38668929,96885345,88553023,96953107,59764684,37188423,62.6,240928,5000,4424,1616,1648,0,1648,4478,3363,1115,437,82,2169,5057,22816,10859,11957,4495,3639,8399,337,268,10694,2076,2522,2882,7650,0,7655,51914,150258,329458,6144,1415,4,2248,80.75453623
UTTARAKHAND,2007,9448454,7023195,2425259,4786348,4606555,6097031,3489368,2607663,75.55,53483,268,228,50,117,0,117,253,227,26,46,6,173,548,1593,565,1028,459,163,697,39,37,886,70,146,63,463,0,608,2686,9599,21161,71,23188,1,101,101.59334
WEST BENGAL,2007,86636739,62402317,24234422,44542544,42077822,55228216,31098191,24130025,73.27,88752,1652,877,394,2106,0,2106,1800,1590,210,146,1150,427,399,13747,2421,11326,3727,672,2406,127,121,6909,451,2281,99,9900,5,3803,27903,81102,179857,4,1148,5,361,93.61155664
A& N ISLANDS,2008,373748,251823,121924,199825,173257,280936,158513,122107,84.1,8249,8,11,2,12,0,12,17,13,4,0,0,14,78,128,11,117,16,12,19,1,15,107,2,24,3,26,0,4,383,882,1921,0,23196,3,47,235.9878849
ANDHRA PRADESH,2008,82275412,59810329,22465080,41220789,40907550,46824777,27116050,20979290,64.6,275045,2690,1942,165,1257,0,1257,1970,1396,574,110,11,623,8332,25362,7297,18065,1930,990,8393,379,1021,48167,556,4730,3551,10306,0,12861,43929,179275,387139,3998,82,750,1321,217.8962045
ARUNACHAL PRADESH,2008,1287413,1020213,267200,670752,619984,668608,393890,393890,61.3,83743,72,37,2,42,0,42,79,47,32,14,0,79,245,445,60,385,18,43,28,1,10,479,0,72,1,13,0,104,590,2374,5314,0,24757,63,24,184.40081
ASSAM,2008,29788127,25944700,3843427,15290371,14511401,17467933,9800454,7667479,68.8,78438,1426,417,71,1438,0,1438,2239,1789,450,312,74,568,3147,8012,2101,5911,2600,680,996,91,443,6107,103,1272,2,3478,0,2259,17598,53333,118355,104,190,130,183,179.0411327
BIHAR,2008,97319462,87139665,10179797,51053259,46614179,44932423,27906489,17025934,56.7,94163,3139,2954,386,1302,0,1302,3047,1789,1258,686,60,1592,3414,13206,2675,10531,8099,1352,2741,69,772,16644,1210,999,21,1992,22,4592,54370,122669,262893,3617,11493,766,766,126.0477581
CHANDIGARH,2008,1006472,102942,903530,558751,452230,752694,436575,316119,84.7,114,17,28,6,20,0,20,50,42,8,1,4,23,257,1991,1094,897,85,37,213,0,2,73,3,19,2,49,0,11,1040,3931,9923,2,7450,0,66,390.5722166
CHHATTISGARH,2008,24096204,19255005,4841199,12114392,11981809,13974578,8142624,5831954,67.39,135191,1169,736,18,978,0,978,273,216,57,124,17,500,4112,6079,2122,3957,1144,169,562,71,302,8565,106,1621,125,897,0,2800,21074,51442,110214,384,138,424,1167,213.4859084
D & N HAVELI,2008,300047,231380,68667,170054,131801,178468,117376,61092,70.37,491,9,2,0,6,0,6,17,11,6,1,0,0,49,54,18,36,24,10,24,1,6,26,0,4,0,4,0,10,154,401,879,1,4157,10,17,133.6457288
DAMAN & DIU,2008,213848,136329,77519,130169,83575,158944,105340,53604,84.34,112,9,2,0,6,0,6,17,11,6,1,0,0,49,54,18,36,24,10,24,1,6,26,0,4,0,4,0,10,154,401,879,0,29,0,4,187.5163668
DELHI,2008,15801005,1077765,14723240,8542330,7300500,11693691,6684495,5009196,84.84,16579,554,389,66,466,0,466,1567,1136,431,24,134,541,1926,18867,11020,7847,71,355,1493,41,41,1936,129,611,130,1387,0,726,17896,49350,119600,34,8,0,1854,312.3219061
GOA,2008,1414724,715926,698798,722137,701215,1106362,592225,514137,84.9,3702,49,25,11,30,0,30,36,28,8,3,0,23,302,601,238,363,102,47,105,22,27,185,2,32,12,12,0,230,886,2742,6151,4,4475,1,80,193.8187237
GUJARAT,2008,57410853,35962660,21448193,29690207,27327039,37610652,21932673,15677979,82.15,196024,1106,487,35,374,0,374,1323,1119,204,256,14,1322,5053,20715,9947,10768,1809,1167,1167,190,363,10897,27,828,122,6094,0,4934,65525,123808,270028,229,124,223,1074,215.6526049
HARYANA,2008,23957022,17028314,6928708,12787215,11234844,15084779,9013773,6071006,74.82,44212,921,616,92,631,0,631,854,644,210,120,257,555,4249,12709,7674,5035,1184,763,1150,40,139,4504,302,435,605,2435,0,1323,21460,55344,124882,110,8095,0,269,231.0136878
HIMACHAL PRADESH,2008,6607187,5959743,647444,3363822,3263851,4661059,2550774,2110285,75.78,55673,129,59,5,157,0,157,151,137,14,6,0,20,885,1152,332,820,627,137,248,11,127,1258,3,295,41,343,0,485,7837,13976,29412,10,5494,0,205,211.5272354
JAMMU & KASHMIR,2008,11812788,8882052,2930736,6243036,5569751,6299321,3841602,2457719,73,222236,237,570,31,219,0,219,704,656,48,3,0,67,1347,2198,689,1509,1782,87,392,23,230,273,21,935,296,162,0,293,10734,20604,44329,0,1027,0,10,174.4211443
JHARKHAND,2008,31089979,24067360,7022619,15949540,15106004,16046558,9794924,6251634,62.76,79714,1697,1061,112,791,0,791,792,499,293,416,50,761,1375,7269,2165,5104,2576,269,900,24,164,2826,266,271,23,851,39,1310,14843,38686,86224,598,2605,231,71,124.4323774
KARNATAKA,2008,58655919,38721412,19934507,29648344,28802296,37355636,20993626,16362010,66.27,191791,1698,1475,81,446,0,446,758,405,353,270,248,1615,6258,17820,8960,8860,6013,424,3669,118,265,19159,259,1954,44,2638,1,572,61755,127540,274104,2392,2664,400,388,217.4375616
KERALA,2008,32972672,24412031,8560641,15851595,17072914,27328684,13391803,13936881,93.34,38863,362,434,95,568,0,568,253,166,87,91,267,816,3882,5818,1981,3837,8057,435,3659,46,389,19178,31,2745,258,4138,0,37,59061,110620,227879,519,7488,106,549,335.4899476
LAKSHADWEEP,2008,63235,35120,28115,32505,30779,49929,27011,23168,91.91,32,1,0,0,2,0,2,1,1,0,0,0,0,3,8,1,7,12,0,0,0,2,12,0,0,0,1,0,0,53,95,201,0,9110,0,0,150.2332569
MADHYA PRADESH,2008,68846567,50630843,18215724,35626026,33202034,39070434,23384149,15686285,82.13,308245,2322,2282,204,2937,0,2937,929,736,193,160,124,2234,11072,24583,10533,14050,2768,570,1368,47,898,36344,805,6445,758,3185,0,6008,100513,206556,441561,2965,0,1071,4259,300.0236744
MAHARASHTRA,2008,107520244,61904534,45615710,55744240,51690221,75875554,42713831,33161723,80.65,307713,2795,1837,111,1558,0,1558,1379,998,381,811,274,3031,16004,52860,16900,35960,9388,1880,7296,405,1288,29742,390,3619,1091,7829,0,12472,50183,206243,468283,1192,16382,268,2709,191.8178311
MANIPUR,2008,2438158,1790057,648101,1320254,1299580,1729747,971657,758090,75.34,22327,187,498,4,38,0,38,176,87,89,1,212,7,76,446,223,223,48,24,161,3,41,301,1,57,0,28,0,2,1038,3349,7358,0,15391,1,89,137.3577922
MEGHALAYA,2008,2756343,2216552,539791,1388475,1358349,1573608,813793,759815,70.35,22429,126,55,6,88,0,88,56,25,31,63,0,65,168,669,137,532,8,32,104,10,28,204,2,54,4,32,0,64,480,2318,5449,0,190,0,62,84.09693569
MIZORAM,2008,1027709,517649,510060,523759,505227,783127,410510,372617,90.58,21081,35,10,6,77,0,77,9,1,8,4,0,6,338,747,27,720,1,34,57,15,18,118,0,78,0,5,0,53,378,1989,4811,0,258,0,22,193.5372756
NAGALAND,2008,1976140,1635749,340391,1030395,949510,1251755,687697,564058,74.09,1483,143,47,13,19,0,19,44,7,37,6,0,87,127,345,182,163,4,16,31,4,14,46,0,15,1,4,0,44,192,1202,2812,0,46,0,3,60.82565
ODISHA,2008,40287365,34248051,6039314,20412247,19929729,24384659,14061544,10323115,70.21,155707,1250,1415,84,1113,0,1113,908,762,146,305,67,1345,3100,7419,1975,5444,2721,342,1244,26,869,7013,401,2782,282,1618,0,3535,18916,56755,122950,1836,43,508,141,140.8754333
PUDUCHERRY,2008,1158183,387183,771000,570980,586501,851231,444408,406823,84.38,479,35,35,3,8,0,8,17,9,8,10,3,10,90,688,443,245,165,13,53,2,9,873,2,65,21,12,0,207,2668,4989,10691,29,7161,0,26,430.7609419
PUNJAB,2008,26664007,17619645,9044362,14115846,12536522,17373575,9764286,7609289,73.87,50362,769,956,146,517,0,517,718,514,204,40,122,167,2621,5563,2182,3381,1,236,3192,78,75,5597,128,388,49,984,0,2845,10122,35314,77426,101,93,0,389,132.4407093
RAJASTHAN,2008,64908989,49729830,15179159,33563100,31050645,34538008,21747124,12790884,64.42,342239,1297,1649,54,1355,0,1355,2358,1863,495,64,77,829,4736,20411,9857,10554,1390,737,12097,51,615,21117,439,2520,19,8113,0,7322,63924,151174,326472,581100,2563,1038,1223,232.9014861
SIKKIM,2008,587944,522864,65080,311441,276244,366679,209865,156814,76.6,7096,9,7,3,20,0,20,4,4,0,1,0,7,81,127,9,118,17,6,46,0,23,100,0,19,0,5,0,40,215,730,1611,17,17145,12,24,124.1614848
TAMIL NADU,2008,69260617,38757646,30502971,34610500,34457973,48020900,26381469,21639431,78.17,130058,1759,2327,28,573,0,573,1375,1160,215,100,66,662,3849,15019,3722,11297,2811,231,2349,599,610,20529,207,1705,974,1648,0,12328,107084,176833,370633,1618,40,14,666,255.3153692
TRIPURA,2008,3526197,2924668,601529,1806333,1722051,2541047,1386618,1154429,77.89,10486,155,53,2,204,0,204,146,110,36,13,3,95,218,499,43,456,197,42,92,23,47,924,16,346,4,735,0,195,1327,5336,11521,4,5126,14,163,151.3245006
UTTAR PRADESH,2008,189602849,150199211,39403638,98532395,90324083,101067657,61796683,39270974,63.72,240928,4564,4233,1493,1871,0,1871,5428,4439,989,313,76,2097,5418,25946,12064,13882,4381,4296,9327,420,228,11683,2237,2955,3374,8312,0,10102,60242,168996,371237,8009,1515,9,4078,89.13157207
